ID:       	Date:          	Name:                                                                   	Entrants: 	Url:                                                                                         
73880     	2018-01-28     	Dreams Collide Melee ($100 Pot Bonus) ft. Westballz, Army & Fiction     	41        	https://smash.gg/tournament/dreams-collide-melee-100-pot-bonus-ft-westballz-army-fiction     
4218431   	2018-01-29     	Last Stock SD 143 - Singles - 01-29-2018                                	38        	http://sdmelee.challonge.com/LSSD143Singles                                                  
80263     	2018-01-29     	Downtime Downsmash #8                                                   	18        	https://smash.gg/tournament/downtime-downsmash-8                                             
80326     	2018-01-30     	Training Mode Tuesdays #39                                              	33        	https://smash.gg/tournament/training-mode-tuesdays-39                                        
4219033   	2018-01-30     	Los Levels #27                                                          	15        	http://challonge.com/1bp6uyjk                                                                
80375     	2018-02-01     	Nimbus #3                                                               	59        	https://smash.gg/tournament/nimbus-3                                                         
4224194   	2018-02-01     	The Bird Cage #2                                                        	15        	http://challonge.com/qonc2bq4                                                                
4230715   	2018-02-02     	The Cougar Clash 27 - Singles - 02-02-2018                              	20        	http://sdmelee.challonge.com/TCC27Singles                                                    
80339     	2018-02-02     	USC Biweekly 33                                                         	19        	https://smash.gg/tournament/usc-biweekly-33                                                  
81358     	2018-02-03     	Friday Night Turnip #86                                                 	36        	https://smash.gg/tournament/friday-night-turnip-86                                           
4234199   	2018-02-04     	Los Levels #28                                                          	13        	http://challonge.com/ilnm1nhy                                                                
4240340   	2018-02-05     	Last Stock SD 144 - Singles - 02-05-2018                                	33        	http://sdmelee.challonge.com/LSSD144Singles                                                  
80789     	2018-02-05     	Dreams Collide Melee 2                                                  	21        	https://smash.gg/tournament/dreams-collide-melee-2                                           
81083     	2018-02-05     	Downtime Downsmash #9                                                   	26        	https://smash.gg/tournament/downtime-downsmash-9-1                                           
81566     	2018-02-05     	Zodo's Melee                                                            	23        	https://smash.gg/tournament/zodo-s-melee                                                     
81287     	2018-02-06     	Training Mode Tuesdays #40                                              	45        	https://smash.gg/tournament/training-mode-tuesdays-40                                        
4240369   	2018-02-06     	UCI Weekly 46                                                           	28        	http://challonge.com/UCIWeekly46                                                             
4240336   	2018-02-06     	Los Levels #29                                                          	12        	http://challonge.com/viueiqkt                                                                
82106     	2018-02-08     	Nimbus #4                                                               	54        	https://smash.gg/tournament/nimbus-4                                                         
82743     	2018-02-10     	Friday Night Turnip 87                                                  	41        	https://smash.gg/tournament/friday-night-turnip-87                                           
4254330   	2018-02-10     	Triton Melee Biweekly 8 - Singles - 02-10-2018                          	19        	http://sdmelee.challonge.com/TMBiweekly8singles                                              
4254558   	2018-02-10     	[MELEE] 2017-18 California Regional Singles                             	59        	http://cslsmash.challonge.com/californiameleesingles                                         
4261579   	2018-02-12     	Last Stock SD 145 - Singles - 02-12-2018                                	29        	http://sdmelee.challonge.com/LSSD145singles                                                  
81675     	2018-02-12     	Dreams Collide Melee 3                                                  	23        	https://smash.gg/tournament/dreams-collide-melee-3                                           
83032     	2018-02-12     	Downtime Downsmash #10                                                  	26        	https://smash.gg/tournament/downtime-downsmash-10                                            
83241     	2018-02-13     	Training Mode Tuesdays #41                                              	42        	https://smash.gg/tournament/training-mode-tuesdays-41                                        
4261621   	2018-02-13     	UCI Weekly 47                                                           	36        	http://challonge.com/UCIWeekly47                                                             
4261016   	2018-02-13     	Los Levels #30                                                          	10        	http://challonge.com/qq7nscff                                                                
84113     	2018-02-15     	Nimbus #5                                                               	71        	https://smash.gg/tournament/nimbus-5                                                         
83643     	2018-02-16     	USC Biweekly 34                                                         	18        	https://smash.gg/tournament/usc-biweekly-34                                                  
4273306   	2018-02-17     	Friday Night Turnip #88                                                 	41        	http://challonge.com/fnt88                                                                   
4273491   	2018-02-17     	BR Monthly February 2018                                                	19        	http://challonge.com/brms2_16_18                                                             
4274809   	2018-02-17     	Melee Singles WGF                                                       	42        	http://challonge.com/o014u4kz                                                                
4277356   	2018-02-18     	Los Levels #31                                                          	8         	http://challonge.com/xf008apm                                                                
4281429   	2018-02-19     	Last Stock SD 146 - Singles - 02-19-2018                                	51        	http://sdmelee.challonge.com/LSSD146singles                                                  
84125     	2018-02-19     	Dreams Collide Melee 4 ft. Westballz, Army, Jace                        	26        	https://smash.gg/tournament/dreams-collide-melee-4-ft-westballz-army-jace                    
85422     	2018-02-19     	Downtime Downsmash #11                                                  	37        	https://smash.gg/tournament/downtime-downsmash-11                                            
84315     	2018-02-19     	Zodo's Melee: Tryhard Edition                                           	27        	https://smash.gg/tournament/zodo-s-melee-tryhard-edition                                     
84983     	2018-02-20     	Training Mode Tuesdays #42                                              	42        	https://smash.gg/tournament/training-mode-tuesdays-42                                        
4281692   	2018-02-20     	Los Levels #32                                                          	10        	http://challonge.com/er4uqdk2                                                                
84347     	2018-02-21     	Melee @ Verdugo West                                                    	9         	https://smash.gg/tournament/melee-verdugo-west                                               
4286691   	2018-02-21     	BR Biweekly 2/20/17                                                     	9         	http://challonge.com/Brbwms2_20_17                                                           
86854     	2018-02-21     	Back to UnTILTed                                                        	10        	https://smash.gg/tournament/back-to-untilted-1                                               
86089     	2018-02-22     	Nimbus #6                                                               	79        	https://smash.gg/tournament/nimbus-6                                                         
4302742   	2018-02-24     	Triton Melee Biweekly #9- Singles - 2/24/18                             	50        	http://sdmelee.challonge.com/TMBiweekly9singles                                              
4296750   	2018-02-24     	Friday  Night Turnip #89                                                	27        	http://challonge.com/fnt89                                                                   
4312698   	2018-02-26     	Last Stock SD 147 - Singles Amateur Bracket - 02-26-2018                	24        	http://sdmelee.challonge.com/LSSD147singlesAmateur                                           
4311287   	2018-02-26     	Last Stock SD 147 - Singles Top 16 - 02-26-2018                         	16        	http://sdmelee.challonge.com/LSSD147singlesT16                                               
4311284   	2018-02-26     	Last Stock SD 147- Singles Pool 6 - 02-26-2018                          	5         	http://sdmelee.challonge.com/LSSD147singlesP6                                                
4311280   	2018-02-26     	Last Stock SD 147 - Singles Pool 3 - 02-26-2018                         	4         	http://sdmelee.challonge.com/LSSD147singlesP3                                                
4311281   	2018-02-26     	Last Stock SD 147 - Singles Pool 4 - 02-26-2018                         	4         	http://sdmelee.challonge.com/LSSD147singlesP4                                                
4311283   	2018-02-26     	Last Stock SD 147 - Singles Pool 5 - 02-26-2018                         	4         	http://sdmelee.challonge.com/LSSD147singlesP5                                                
4311286   	2018-02-26     	Last Stock SD 147 - Singles Pool 8 - 02-26-2018                         	5         	http://sdmelee.challonge.com/LSSD147singlesP8                                                
4311276   	2018-02-26     	Last Stock SD 147 - Singles Pool 1 - 02-26-2018                         	4         	http://sdmelee.challonge.com/LSSD147singlesP1                                                
4311279   	2018-02-26     	Last Stock SD 147 - Singles Pool 2 - 02-26-2018                         	4         	http://sdmelee.challonge.com/LSSD147singlesP2                                                
86306     	2018-02-26     	Dreams Collide Melee 5                                                  	14        	https://smash.gg/tournament/dreams-collide-melee-5                                           
88020     	2018-02-27     	Training Mode Tuesdays #43                                              	34        	https://smash.gg/tournament/training-mode-tuesdays-43                                        
4311285   	2018-02-27     	Last Stock SD 147 - Singles Pool 7 - 02-26-2018                         	5         	http://sdmelee.challonge.com/LSSD147singlesP7                                                
4312507   	2018-02-27     	UCI Weekly 48                                                           	37        	http://challonge.com/UCIWeekly48                                                             
89230     	2018-03-01     	Nimbus #7                                                               	68        	https://smash.gg/tournament/nimbus-7                                                         
90353     	2018-03-03     	Friday Night Turnip #90                                                 	35        	https://smash.gg/tournament/friday-night-turnip-90-1                                         
87742     	2018-03-04     	fuck it, one more balc                                                  	80        	https://smash.gg/tournament/fuck-it-one-more-balc                                            
